dataset,attack,poison_rate,defense,clean_acc,clean_acc_std,asr,det_precision,det_recall,det_f1,fit_time_sec
breast_cancer,label_flip,0.1,hybrid,0.9444444444444445,0.010128952091046034,0.055555555555555546,0.19717162262701896,0.823529411764706,0.3116957899288262,0.26589258511861164
breast_cancer,label_flip,0.1,none,0.9415204678362573,0.01012895209104604,0.05847953216374272,0.0,0.0,0.0,0.0038940111796061196
breast_cancer,label_flip,0.1,roni,0.935672514619883,0.02819780924266943,0.06432748538011697,0.09938104751831395,0.2450980392156863,0.1390849428946717,0.06961178779602051
breast_cancer,label_flip,0.1,trimmed_loss,0.9766081871345028,0.013399344137297759,0.023391812865497075,0.8648648648648649,0.9411764705882352,0.9014084507042254,0.016879796981811523
breast_cancer,label_flip,0.2,anomaly_iforest,0.9532163742690059,0.010128952091046082,0.046783625730994184,0.3442060926633363,0.4166666666666667,0.37698307579102286,0.2091487248738607
breast_cancer,label_flip,0.2,anomaly_lof,0.9502923976608186,0.005064476045523041,0.04970760233918133,0.23143280741151903,0.27941176470588236,0.25316305416043183,0.0074007511138916016
breast_cancer,label_flip,0.2,hybrid,0.9473684210526315,0.015193428136569034,0.0526315789473684,0.28913036665363606,0.7696078431372548,0.41937954976908803,0.27309640248616535
breast_cancer,label_flip,0.2,none,0.9269005847953217,0.018260228065492427,0.0730994152046784,0.0,0.0,0.0,0.004445393880208333
breast_cancer,label_flip,0.2,roni,0.9093567251461989,0.026798688274595594,0.09064327485380115,0.17383141762452106,0.3088235294117647,0.2214183445828636,0.0918881098429362
breast_cancer,label_flip,0.2,trimmed_loss,0.9649122807017544,0.015193428136569147,0.03508771929824561,0.8211382113821138,0.9901960784313726,0.8977777777777778,0.016281525293986004
breast_cancer,targeted_flip,0.05,anomaly_iforest,0.9590643274853802,0.013399344137297816,0.10852713178294575,0.05263157894736842,0.0588235294117647,0.05555555555555555,0.20412421226501465
breast_cancer,targeted_flip,0.05,anomaly_lof,0.9619883040935672,0.010128952091046105,0.10077519379844961,0.0,0.0,0.0,0.0057036081949869795
breast_cancer,targeted_flip,0.05,hybrid,0.9619883040935672,0.028197809242669437,0.10077519379844961,0.08234661606578116,0.43137254901960786,0.13753000429280562,0.24569034576416016
breast_cancer,targeted_flip,0.05,none,0.9590643274853802,0.013399344137297816,0.10852713178294575,0.0,0.0,0.0,0.0022672812143961587
breast_cancer,targeted_flip,0.05,roni,0.9590643274853802,0.005064476045523041,0.09302325581395349,0.05214198724837022,0.39215686274509803,0.0915096344664234,0.04981915156046549
